id,firstname,surname,birth_date,death_date,born_country,born_country_code,born_city,died_country,died_country_code,died_city,gender,award_year,category,overall_motivation,share,motivation,name,city,country,birth_year,age_at_award,decade,motivation_clean
11,Albert A.,Michelson,1852-12-19,1931-05-09,Prussia (now Poland),PL,Strelno (now Strzelno),USA,US,Pasadena CA,Male,1907,Physics,,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",University of Chicago,Chicago IL,USA,1852,55,1900,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
12,Gabriel,Lippmann,1845-08-16,1921-07-13,Luxembourg,LU,Hollerich,,,,Male,1908,Physics,,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",Sorbonne University,Paris,France,1845,63,1900,for his method of reproducing colours photographically based on the phenomenon of interference
13,Guglielmo,Marconi,1874-04-25,1937-07-20,Italy,IT,Bologna,Italy,IT,Rome,Male,1909,Physics,,2,"""in recognition of their contributions to the development of wireless telegraphy""",Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom,1874,35,1900,in recognition of their contributions to the development of wireless telegraphy
14,Ferdinand,Braun,1850-06-06,1918-04-20,Hesse-Kassel (now Germany),DE,Fulda,USA,US,Brooklyn NY,Male,1909,Physics,,2,"""in recognition of their contributions to the development of wireless telegraphy""",Strasbourg University,Strasbourg,Germany (now France),1850,59,1900,in recognition of their contributions to the development of wireless telegraphy
15,Johannes Diderik,van der Waals,1837-11-23,1923-03-08,the Netherlands,NL,Leiden,the Netherlands,NL,Amsterdam,Male,1910,Physics,,1,"""for his work on the equation of state for gases and liquids""",Amsterdam University,Amsterdam,the Netherlands,1837,73,1910,for his work on the equation of state for gases and liquids
16,Wilhelm,Wien,1864-01-13,1928-08-30,Prussia (now Russia),RU,Gaffken (now Parusnoye),Germany,DE,Munich,Male,1911,Physics,,1,"""for his discoveries regarding the laws governing the radiation of heat""",Würzburg University,Würzburg,Germany,1864,47,1910,for his discoveries regarding the laws governing the radiation of heat
17,Gustaf,Dalén,1869-11-30,1937-12-09,Sweden,SE,Stenstorp,Sweden,SE,Stockholm,Male,1912,Physics,,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden,1869,43,1910,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
18,Heike,Kamerlingh Onnes,1853-09-21,1926-02-21,the Netherlands,NL,Groningen,the Netherlands,NL,Leiden,Male,1913,Physics,,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",Leiden University,Leiden,the Netherlands,1853,60,1910,for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium
19,Max,von Laue,1879-10-09,1960-04-23,Germany,DE,Pfaffendorf,West Germany (now Germany),DE,Berlin,Male,1914,Physics,,1,"""for his discovery of the diffraction of X-rays by crystals""",Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany,1879,35,1910,for his discovery of the diffraction of x rays by crystals
20,William,Bragg,1862-07-02,1942-03-12,United Kingdom,GB,Wigton,United Kingdom,GB,London,Male,1915,Physics,,2,"""for their services in the analysis of crystal structure by means of X-rays""",University College,London,United Kingdom,1862,53,1910,for their services in the analysis of crystal structure by means of x rays
21,Lawrence,Bragg,1890-03-31,1971-07-01,Australia,AU,Adelaide,United Kingdom,GB,Ipswich,Male,1915,Physics,,2,"""for their services in the analysis of crystal structure by means of X-rays""",Victoria University,Manchester,United Kingdom,1890,25,1910,for their services in the analysis of crystal structure by means of x rays
22,Charles Glover,Barkla,1877-06-07,1944-10-23,United Kingdom,GB,Widnes,Scotland,GB,Edinburgh,Male,1917,Physics,,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",Edinburgh University,Edinburgh,United Kingdom,1877,40,1910,for his discovery of the characteristic r ouml ntgen radiation of the elements
23,Max,Planck,1858-04-23,1947-10-04,Schleswig (now Germany),DE,Kiel,West Germany (now Germany),DE,Göttingen,Male,1918,Physics,,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",Berlin University,Berlin,Germany,1858,60,1910,in recognition of the services he rendered to the advancement of physics by his discovery of energy quanta
24,Johannes,Stark,1874-04-15,1957-06-21,Germany,DE,Schickenhof,West Germany (now Germany),DE,Traunstein,Male,1919,Physics,,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",Greifswald University,Greifswald,Germany,1874,45,1910,for his discovery of the doppler effect in canal rays and the splitting of spectral lines in electric fields
25,Charles Edouard,Guillaume,1861-02-15,1938-06-13,Switzerland,CH,Fleurier,France,FR,Sèvres,Male,1920,Physics,,1,"""in recognition of the service he has rendered to precision measurements in Physics by his discovery of anomalies in nickel steel alloys""",Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Sèvres,France,1861,59,1920,in recognition of the service he has rendered to precision measurements in physics by his discovery of anomalies in nickel steel alloys
26,Albert,Einstein,1879-03-14,1955-04-18,Germany,DE,Ulm,USA,US,Princeton NJ,Male,1921,Physics,,1,"""for his services to Theoretical Physics and especially for his discovery of the law of the photoelectric effect""",Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Berlin,Germany,1879,42,1920,for his services to theoretical physics and especially for his discovery of the law of the photoelectric effect
27,Niels,Bohr,1885-10-07,1962-11-18,Denmark,DK,Copenhagen,Denmark,DK,Copenhagen,Male,1922,Physics,,1,"""for his services in the investigation of the structure of atoms and of the radiation emanating from them""",Copenhagen University,Copenhagen,Denmark,1885,37,1920,for his services in the investigation of the structure of atoms and of the radiation emanating from them
28,Robert A.,Millikan,1868-03-22,1953-12-19,USA,US,Morrison IL,USA,US,San Marino CA,Male,1923,Physics,,1,"""for his work on the elementary charge of electricity and on the photoelectric effect""",California Institute of Technology (Caltech),Pasadena CA,USA,1868,55,1920,for his work on the elementary charge of electricity and on the photoelectric effect
29,Manne,Siegbahn,1886-12-03,1978-09-26,Sweden,SE,Örebro,Sweden,SE,Stockholm,Male,1924,Physics,,1,"""for his discoveries and research in the field of X-ray spectroscopy""",Uppsala University,Uppsala,Sweden,1886,38,1920,for his discoveries and research in the field of x ray spectroscopy
30,James,Franck,1882-08-26,1964-05-21,Germany,DE,Hamburg,West Germany (now Germany),DE,Göttingen,Male,1925,Physics,,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",Goettingen University,Göttingen,Germany,1882,43,1920,for their discovery of the laws governing the impact of an electron upon an atom
31,Gustav,Hertz,1887-07-22,1975-10-30,Germany,DE,Hamburg,East Germany (now Germany),DE,Berlin,Male,1925,Physics,,2,"""for their discovery of the laws governing the impact of an electron upon an atom""",Halle University,Halle,Germany,1887,38,1920,for their discovery of the laws governing the impact of an electron upon an atom
32,Jean Baptiste,Perrin,1870-09-30,1942-04-17,France,FR,Lille,USA,US,New York NY,Male,1926,Physics,,1,"""for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium""",Sorbonne University,Paris,France,1870,56,1920,for his work on the discontinuous structure of matter and especially for his discovery of sedimentation equilibrium
33,Arthur H.,Compton,1892-09-10,1962-03-15,USA,US,Wooster OH,USA,US,Berkeley CA,Male,1927,Physics,,2,"""for his discovery of the effect named after him""",University of Chicago,Chicago IL,USA,1892,35,1920,for his discovery of the effect named after him
34,C.T.R.,Wilson,1869-02-14,1959-11-15,Scotland,GB,Glencorse,Scotland,GB,Carlops,Male,1927,Physics,,2,"""for his method of making the paths of electrically charged particles visible by condensation of vapour""",University of Cambridge,Cambridge,United Kingdom,1869,58,1920,for his method of making the paths of electrically charged particles visible by condensation of vapour
35,Owen Willans,Richardson,1879-04-26,1959-02-15,United Kingdom,GB,Dewsbury,United Kingdom,GB,Alton,Male,1928,Physics,,1,"""for his work on the thermionic phenomenon and especially for the discovery of the law named after him""",London University,London,United Kingdom,1879,49,1920,for his work on the thermionic phenomenon and especially for the discovery of the law named after him
36,Louis,de Broglie,1892-08-15,1987-03-19,France,FR,Dieppe,France,FR,Paris,Male,1929,Physics,,1,"""for his discovery of the wave nature of electrons""",Sorbonne University Institut Henri Poincaré,Paris,France,1892,37,1920,for his discovery of the wave nature of electrons
37,Sir Chandrasekhara Venkata,Raman,1888-11-07,1970-11-21,India,IN,Tiruchirappalli,India,IN,Bangalore,Male,1930,Physics,,1,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,India,1888,42,1930,for his work on the scattering of light and for the discovery of the effect named after him
38,Werner,Heisenberg,1901-12-05,1976-02-01,Germany,DE,Würzburg,West Germany (now Germany),DE,Munich,Male,1932,Physics,,1,"""for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen""",Leipzig University,Leipzig,Germany,1901,31,1930,for the creation of quantum mechanics the application of which has inter alia led to the discovery of the allotropic forms of hydrogen
39,Erwin,Schrödinger,1887-08-12,1961-01-04,Austria,AT,Vienna,Austria,AT,Vienna,Male,1933,Physics,,2,"""for the discovery of new productive forms of atomic theory""",Berlin University,Berlin,Germany,1887,46,1930,for the discovery of new productive forms of atomic theory
40,Paul A.M.,Dirac,1902-08-08,1984-10-20,United Kingdom,GB,Bristol,USA,US,Tallahassee FL,Male,1933,Physics,,2,"""for the discovery of new productive forms of atomic theory""",University of Cambridge,Cambridge,United Kingdom,1902,31,1930,for the discovery of new productive forms of atomic theory
41,James,Chadwick,1891-10-20,1974-07-24,United Kingdom,GB,Manchester,United Kingdom,GB,Cambridge,Male,1935,Physics,,1,"""for the discovery of the neutron""",Liverpool University,Liverpool,United Kingdom,1891,44,1930,for the discovery of the neutron
42,Victor F.,Hess,1883-06-24,1964-12-17,Austria,AT,Peggau,USA,US,Mount Vernon NY,Male,1936,Physics,,2,"""for his discovery of cosmic radiation""",Innsbruck University,Innsbruck,Austria,1883,53,1930,for his discovery of cosmic radiation
43,Carl D.,Anderson,1905-09-03,1991-01-11,USA,US,New York NY,USA,US,San Marino CA,Male,1936,Physics,,2,"""for his discovery of the positron""",California Institute of Technology (Caltech),Pasadena CA,USA,1905,31,1930,for his discovery of the positron
44,Clinton,Davisson,1881-10-22,1958-02-01,USA,US,Bloomington IL,USA,US,Charlottesville VA,Male,1937,Physics,,2,"""for their experimental discovery of the diffraction of electrons by crystals""",Bell Telephone Laboratories,New York NY,USA,1881,56,1930,for their experimental discovery of the diffraction of electrons by crystals
45,George Paget,Thomson,1892-05-03,1975-09-10,United Kingdom,GB,Cambridge,United Kingdom,GB,Cambridge,Male,1937,Physics,,2,"""for their experimental discovery of the diffraction of electrons by crystals""",London University,London,United Kingdom,1892,45,1930,for their experimental discovery of the diffraction of electrons by crystals
46,Enrico,Fermi,1901-09-29,1954-11-28,Italy,IT,Rome,USA,US,Chicago IL,Male,1938,Physics,,1,"""for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons""",Rome University,Rome,Italy,1901,37,1930,for his demonstrations of the existence of new radioactive elements produced by neutron irradiation and for his related discovery of nuclear reactions brought about by slow neutrons
47,Ernest,Lawrence,1901-08-08,1958-08-27,USA,US,Canton SD,USA,US,Palo Alto CA,Male,1939,Physics,,1,"""for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements""",University of California,Berkeley CA,USA,1901,38,1930,for the invention and development of the cyclotron and for results obtained with it especially with regard to artificial radioactive elements
48,Otto,Stern,1888-02-17,1969-08-17,Germany (now Poland),PL,Sorau (now Zory),USA,US,Berkeley CA,Male,1943,Physics,,1,"""for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton""",Carnegie Institute of Technology,Pittsburgh PA,USA,1888,55,1940,for his contribution to the development of the molecular ray method and his discovery of the magnetic moment of the proton
49,Isidor Isaac,Rabi,1898-07-29,1988-01-11,Austria-Hungary (now Poland),PL,Rymanow,USA,US,New York NY,Male,1944,Physics,,1,"""for his resonance method for recording the magnetic properties of atomic nuclei""",Columbia University,New York NY,USA,1898,46,1940,for his resonance method for recording the magnetic properties of atomic nuclei
50,Wolfgang,Pauli,1900-04-25,1958-12-15,Austria,AT,Vienna,Switzerland,CH,Zurich,Male,1945,Physics,,1,"""for the discovery of the Exclusion Principle also called the Pauli Principle""",Princeton University,Princeton NJ,USA,1900,45,1940,for the discovery of the exclusion principle also called the pauli principle
51,Percy W.,Bridgman,1882-04-21,1961-08-20,USA,US,Cambridge MA,USA,US,Randolph NH,Male,1946,Physics,,1,"""for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics""",Harvard University,Cambridge MA,USA,1882,64,1940,for the invention of an apparatus to produce extremely high pressures and for the discoveries he made therewith in the field of high pressure physics
52,Edward V.,Appleton,1892-09-06,1965-04-21,United Kingdom,GB,Bradford,Scotland,GB,Edinburgh,Male,1947,Physics,,1,"""for his investigations of the physics of the upper atmosphere especially for the discovery of the so-called Appleton layer""",Department of Scientific and Industrial Research,London,United Kingdom,1892,55,1940,for his investigations of the physics of the upper atmosphere especially for the discovery of the so called appleton layer
53,Patrick M.S.,Blackett,1897-11-18,1974-07-13,United Kingdom,GB,London,United Kingdom,GB,London,Male,1948,Physics,,1,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",Victoria University,Manchester,United Kingdom,1897,51,1940,for his development of the wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation
54,Hideki,Yukawa,1907-01-23,1981-09-08,Japan,JP,Tokyo,Japan,JP,Kyoto,Male,1949,Physics,,1,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",Columbia University,New York NY,USA,1907,42,1940,for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces
55,Cecil,Powell,1903-12-05,1969-08-09,United Kingdom,GB,Tonbridge,Italy,IT,,Male,1950,Physics,,1,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",Bristol University,Bristol,United Kingdom,1903,47,1950,for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method
56,John,Cockcroft,1897-05-27,1967-09-18,United Kingdom,GB,Todmorden,United Kingdom,GB,Cambridge,Male,1951,Physics,,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Atomic Energy Research Establishment,Harwell Berkshire,United Kingdom,1897,54,1950,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
57,Ernest T.S.,Walton,1903-10-06,1995-06-25,Ireland,IE,Dungarvan,Northern Ireland,GB,Belfast,Male,1951,Physics,,2,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",Trinity College,Dublin,Ireland,1903,48,1950,for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles
58,Felix,Bloch,1905-10-23,1983-09-10,Switzerland,CH,Zurich,Switzerland,CH,Zurich,Male,1952,Physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Stanford University,Stanford CA,USA,1905,47,1950,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
59,E. M.,Purcell,1912-08-30,1997-03-07,USA,US,Taylorville IL,USA,US,Cambridge MA,Male,1952,Physics,,2,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",Harvard University,Cambridge MA,USA,1912,40,1950,for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith
60,Frits,Zernike,1888-07-16,1966-03-10,the Netherlands,NL,Amsterdam,the Netherlands,NL,Groningen,Male,1953,Physics,,1,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",Groningen University,Groningen,the Netherlands,1888,65,1950,for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope
61,Max,Born,1882-12-11,1970-01-05,Germany (now Poland),PL,Breslau (now Wroclaw),West Germany (now Germany),DE,Göttingen,Male,1954,Physics,,2,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",Edinburgh University,Edinburgh,United Kingdom,1882,72,1950,for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction
62,Walther,Bothe,1891-01-08,1957-02-08,Germany,DE,Oranienburg,West Germany (now Germany),DE,Heidelberg,Male,1954,Physics,,2,"""for the coincidence method and his discoveries made therewith""",University of Heidelberg,Heidelberg,Germany,1891,63,1950,for the coincidence method and his discoveries made therewith
63,Willis E.,Lamb,1913-07-12,2008-05-15,USA,US,Los Angeles CA,USA,US,Tucson AZ,Male,1955,Physics,,2,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",Stanford University,Stanford CA,USA,1913,42,1950,for his discoveries concerning the fine structure of the hydrogen spectrum
64,Polykarp,Kusch,1911-01-26,1993-03-20,Germany,DE,Blankenburg,USA,US,Dallas TX,Male,1955,Physics,,2,"""for his precision determination of the magnetic moment of the electron""",Columbia University,New York NY,USA,1911,44,1950,for his precision determination of the magnetic moment of the electron
65,William B.,Shockley,1910-02-13,1989-08-12,United Kingdom,GB,London,USA,US,Palo Alto CA,Male,1956,Physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""",Semiconductor Laboratory of Beckman Instruments Inc.,Mountain View CA,USA,1910,46,1950,for their researches on semiconductors and their discovery of the transistor effect
66,John,Bardeen,1908-05-23,1991-01-30,USA,US,Madison WI,USA,US,Boston MA,Male,1956,Physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""",University of Illinois,Urbana IL,USA,1908,48,1950,for their researches on semiconductors and their discovery of the transistor effect
66,John,Bardeen,1908-05-23,1991-01-30,USA,US,Madison WI,USA,US,Boston MA,Male,1972,Physics,,3,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",University of Illinois,Urbana IL,USA,1908,64,1970,for their jointly developed theory of superconductivity usually called the bcs theory
67,Walter H.,Brattain,1902-02-10,1987-10-13,China,CN,Amoy,USA,US,Seattle WA,Male,1956,Physics,,3,"""for their researches on semiconductors and their discovery of the transistor effect""",Bell Telephone Laboratories,Murray Hill NJ,USA,1902,54,1950,for their researches on semiconductors and their discovery of the transistor effect
68,Chen Ning,Yang,1922-09-22,,China,CN,Hofei Anhwei,,,,Male,1957,Physics,,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Institute for Advanced Study,Princeton NJ,USA,1922,35,1950,for their penetrating investigation of the so called parity laws which has led to important discoveries regarding the elementary particles
69,Tsung-Dao,Lee,1926-11-24,,China,CN,Shanghai,,,,Male,1957,Physics,,2,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",Columbia University,New York NY,USA,1926,31,1950,for their penetrating investigation of the so called parity laws which has led to important discoveries regarding the elementary particles
70,Pavel A.,Cherenkov,1904-07-28,1990-01-06,Russia,RU,Novaya Chigla,USSR (now Russia),RU,,Male,1958,Physics,,3,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1904,54,1950,for the discovery and the interpretation of the cherenkov effect
71,Igor Y.,Tamm,1895-07-08,1971-04-12,Russia,RU,Vladivostok,USSR (now Russia),RU,Moscow,Male,1958,Physics,,3,"""for the discovery and the interpretation of the Cherenkov effect""",Lomonosov Moscow State University,Moscow,USSR (now Russia),1895,63,1950,for the discovery and the interpretation of the cherenkov effect
72,Emilio,Segrè,1905-02-01,1989-04-22,Italy,IT,Tivoli,USA,US,Lafayette CA,Male,1959,Physics,,2,"""for their discovery of the antiproton""",University of California,Berkeley CA,USA,1905,54,1950,for their discovery of the antiproton
73,Owen,Chamberlain,1920-07-10,2006-02-28,USA,US,San Francisco CA,USA,US,Berkeley CA,Male,1959,Physics,,2,"""for their discovery of the antiproton""",University of California,Berkeley CA,USA,1920,39,1950,for their discovery of the antiproton
74,Donald A.,Glaser,1926-09-21,2013-02-28,USA,US,Cleveland OH,USA,US,Berkeley CA,Male,1960,Physics,,1,"""for the invention of the bubble chamber""",University of California,Berkeley CA,USA,1926,34,1960,for the invention of the bubble chamber
75,Robert,Hofstadter,1915-02-05,1990-11-17,USA,US,New York NY,USA,US,Stanford CA,Male,1961,Physics,,2,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",Stanford University,Stanford CA,USA,1915,46,1960,for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons
76,Rudolf,Mössbauer,1929-01-31,2011-09-14,Germany,DE,Munich,,,,Male,1961,Physics,,2,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,Munich,Germany,1929,32,1960,for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name
77,Lev,Landau,1908-01-22,1968-04-01,Russian Empire (now Azerbaijan),AZ,Baku,USSR (now Russia),RU,Moscow,Male,1962,Physics,,1,"""for his pioneering theories for condensed matter especially liquid helium""",Academy of Sciences,Moscow,USSR (now Russia),1908,54,1960,for his pioneering theories for condensed matter especially liquid helium
78,Eugene,Wigner,1902-11-17,1995-01-01,Austria-Hungary (now Hungary),HU,Budapest,USA,US,Princeton NJ,Male,1963,Physics,,2,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",Princeton University,Princeton NJ,USA,1902,61,1960,for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles
79,Maria,Goeppert Mayer,1906-06-28,1972-02-20,Germany (now Poland),PL,Kattowitz (now Katowice),USA,US,San Diego CA,Female,1963,Physics,,4,"""for their discoveries concerning nuclear shell structure""",University of California,San Diego CA,USA,1906,57,1960,for their discoveries concerning nuclear shell structure
80,J. Hans D.,Jensen,1907-06-25,1973-02-11,Germany,DE,Hamburg,West Germany (now Germany),DE,Heidelberg,Male,1963,Physics,,4,"""for their discoveries concerning nuclear shell structure""",University of Heidelberg,Heidelberg,Germany,1907,56,1960,for their discoveries concerning nuclear shell structure
81,Charles H.,Townes,1915-07-28,2015-01-27,USA,US,Greenville SC,USA,US,Berkeley CA,Male,1964,Physics,,2,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",Massachusetts Institute of Technology (MIT),Cambridge MA,USA,1915,49,1960,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser laser principle
82,Nicolay G.,Basov,1922-12-14,2001-07-01,USSR (now Russia),RU,Usman,Russia,RU,Moscow,Male,1964,Physics,,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1922,42,1960,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser laser principle
83,Aleksandr M.,Prokhorov,1916-07-11,2002-01-08,Australia,AU,Atherton,Russia,RU,Moscow,Male,1964,Physics,,4,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",P.N. Lebedev Physical Institute,Moscow,USSR (now Russia),1916,48,1960,for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser laser principle
84,Sin-Itiro,Tomonaga,1906-03-31,1979-07-08,Japan,JP,Kyoto,Japan,JP,Tokyo,Male,1965,Physics,,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",Tokyo University of Education,Tokyo,Japan,1906,59,1960,for their fundamental work in quantum electrodynamics with deep ploughing consequences for the physics of elementary particles
85,Julian,Schwinger,1918-02-12,1994-07-16,USA,US,New York NY,USA,US,Los Angeles CA,Male,1965,Physics,,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",Harvard University,Cambridge MA,USA,1918,47,1960,for their fundamental work in quantum electrodynamics with deep ploughing consequences for the physics of elementary particles
86,Richard P.,Feynman,1918-05-11,1988-02-15,USA,US,New York NY,USA,US,Los Angeles CA,Male,1965,Physics,,3,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",California Institute of Technology (Caltech),Pasadena CA,USA,1918,47,1960,for their fundamental work in quantum electrodynamics with deep ploughing consequences for the physics of elementary particles
